"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45000","South Carolina state total","5","CA1","1","...","Personal income (thousands of dollars)",7594623,8363608,9161152,10282871,11649849,13187997,14352868,16031619,17515221,19786882,22172253,24830814,27941168,29708074,32286069,35967206,38533651,41172834,44131715,47967404,52225817,56081923,58482729,62318342,65498742,69488391,73582134,78254085,83268712,89221438,93658381,100288596,103768987,106587924,110293923,117121439,123655488,133248360,142015184,148898634,145201638,149093360,157952965,166397814,168267898,178719703,189836135,196049325
"45000","South Carolina state total","5","CA1","2","...","Population (persons) 1/",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635943,4672637,4720760,4767894,4828430,4894834,4961119
"45000","South Carolina state total","5","CA1","3","...","Per capita personal income (dollars) 2/",2955,3219,3442,3783,4197,4638,4949,5450,5860,6507,7183,7922,8789,9262,9983,10993,11666,12317,13055,14058,15108,16018,16380,17213,17880,18753,19629,20614,21574,22765,23564,24921,25527,25948,26575,27814,28958,30577,31956,32877,31635,32160,33804,35248,35292,37014,38783,39517
"45001","Abbeville, SC","5","CA1","1","...","Personal income (thousands of dollars)",54512,57641,63012,70142,80621,86719,90193,102547,111596,123948,136274,149953,167618,175298,191814,208227,221431,232527,249350,265848,287480,304264,321978,354365,369096,395963,424065,450513,492437,527433,567171,610484,614678,559080,520328,556901,575456,597515,611773,649983,655659,667491,690377,686987,698232,726885,761142,780346
"45001","Abbeville, SC","5","CA1","2","...","Population (persons) 1/",20596,21141,21506,21544,21623,21860,22061,22245,22637,22933,22873,22674,22790,22964,22923,22980,22963,22831,23015,23300,23643,23958,24157,24352,24487,24680,24941,25074,25308,25670,25921,26229,26330,26311,26306,26235,25995,25821,25745,25699,25614,25339,25104,25054,24964,24892,24971,24872
"45001","Abbeville, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",2647,2727,2930,3256,3728,3967,4088,4610,4930,5405,5958,6613,7355,7634,8368,9061,9643,10185,10834,11410,12159,12700,13329,14552,15073,16044,17003,17967,19458,20547,21881,23275,23345,21249,19780,21227,22137,23141,23763,25292,25598,26342,27501,27420,27970,29202,30481,31374
"45003","Aiken, SC","5","CA1","1","...","Personal income (thousands of dollars)",320353,330348,357493,391951,435422,481920,516193,586566,647662,722805,803695,903166,1006762,1079964,1176845,1338318,1474137,1570437,1640863,1786793,2073851,2209477,2330894,2508104,2613194,2677219,2771324,2867711,3037861,3246812,3368422,3591899,3670350,3822781,3943292,4082928,4269028,4496803,4838121,5112645,5179190,5348431,5632632,5765766,5758985,6021329,6355544,6535813
"45003","Aiken, SC","5","CA1","2","...","Population (persons) 1/",91582,90919,91649,92470,95192,96120,97794,99450,100680,103220,104060,105957,106919,108220,108419,110440,112494,114539,115579,117042,118374,122046,126745,129898,132694,134214,135769,136477,138080,139358,141379,142742,143676,145226,146793,148746,150152,152577,154814,156896,158499,160554,161822,163284,164120,164758,166111,167458
"45003","Aiken, SC","5","CA1","3","...","Per capita personal income (dollars) 2/",3498,3633,3901,4239,4574,5014,5278,5898,6433,7003,7723,8524,9416,9979,10855,12118,13104,13711,14197,15266,17519,18104,18390,19308,19693,19947,20412,21012,22001,23298,23825,25164,25546,26323,26863,27449,28431,29472,31251,32586,32676,33312,34808,35311,35090,36547,38261,39030
"45005","Allendale, SC","5","CA1","1","...","Personal income (thousands of dollars)",20506,22393,24463,26756,29823,34931,36237,39221,42816,49182,56578,59777,70495,71347,74660,83632,88479,89221,94045,100881,110684,116268,126039,135169,138270,152812,158362,156713,167996,171923,174396,179014,185080,183394,186357,195993,209594,252520,248774,247281,255577,269416,270932,276544,265757,261591,265305,275935
