County,ReportingEntityType,ReportingEntity,
Abbeville,County,Abbeville County,
Abbeville,Municipality,City Of Abbeville,
Abbeville,Municipality,Town Of Calhoun Falls,
Abbeville,Municipality,Town Of Donalds,
Abbeville,Municipality,Town Of Due West,
Abbeville,Municipality,Town Of Lowndesville,
Abbeville,School District,Abbeville County School District 60,
Aiken,County,Aiken County,
Aiken,Municipality,City Of Aiken,
Aiken,Municipality,City Of New Ellenton,
Aiken,Municipality,City Of North Augusta,
Aiken,Municipality,Town Of Burnettown,
Aiken,Municipality,Town Of Jackson,
Aiken,Municipality,Town Of Monetta,
Aiken,Municipality,Town Of Perry,
Aiken,Municipality,Town Of Salley,
Aiken,Municipality,Town Of Wagener,
Aiken,School District,Consolidated School District Of Aiken County,
Aiken,Special Purpose District,Aiken County Public Service Authority,
Aiken,Special Purpose District,Bath Water & Sewer District,
Aiken,Special Purpose District,Beech Island Rural Community Water District,
Aiken,Special Purpose District,Belvedere Fire District,
Aiken,Special Purpose District,Breezy Hill Water & Sewer,
Aiken,Special Purpose District,Clearwater Water & Sewer District,
Aiken,Special Purpose District,College Acres Public Works,
Aiken,Special Purpose District,Langley Water & Sewer District,
Aiken,Special Purpose District,"Midland Valley Fire Department, Inc",
Aiken,Special Purpose District,Talatha Rural Community Water District,
Aiken,Special Purpose District,Valley Public Service Authority,
Allendale,County,Allendale County,
Allendale,Municipality,Town Of Allendale,
Allendale,Municipality,Town Of Fairfax,
Allendale,Municipality,Town Of Sycamore,
Allendale,Municipality,Town Of Ulmer,
Allendale,School District,Allendale County School District,
Anderson,County,Anderson County,
Anderson,Municipality,City Of Anderson,
Anderson,Municipality,City Of Belton,
Anderson,Municipality,Town Of Honea Path,
Anderson,Municipality,Town Of Pelzer,
Anderson,Municipality,Town Of Pendleton,
Anderson,Municipality,Town Of Starr,
Anderson,Municipality,Town Of West Pelzer,
Anderson,Municipality,Town Of Williamston,
Anderson,School District,Anderson School District #1,
Anderson,School District,Anderson School District #2,
Anderson,School District,Anderson School District #3,
Anderson,School District,Anderson School District #4,
Anderson,School District,Anderson School District #5,
